"HS8","HS6","DESC","COUNT","LDESC1","LDESC2","LDESC3","LDESC4","LDESC5","LDESC6","LDESC7","LDESC8","LDESC9","LDESC10","UNITID","UYEAR","UNITID1","UYEAR1","UNITID2","UYEAR2","UNITID3","UYEAR3","UNITID4","UYEAR4","UNITID5","UYEAR5","UNITID6","UYEAR6","UNITID7","UYEAR7","UNITID8","UYEAR8","UNITID9","UYEAR9","MAIN1994","SUB1994","MAIN1995","SUB1995","MAIN1996","SUB1996","MAIN1997","SUB1997","MAIN","SUB","CDESC"
01011000,010110,"HORSES, ASSES, MULES & HINNIES, LIVE, PURE-BRED BREEDING",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活馬、活驢、活騾及活駃騠，純種配種用
01011100,010111,"HORSES, LIVE, PUREBRED BREEDING",1,"HORSES, LIVE, PUREBRED BREEDING",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活馬，純配種用
01011910,010119,RACING HORSES,1,RACING HORSES,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,賽馬
01011990,010119,"HORSES, LIVE, EXCEPT PUREBRED BREEDING AND RACING HORSES",1,"HORSES, LIVE, EXCEPT PUREBRED BREEDING AND RACING HORSES",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活馬，純配種用及賽馬除外
01012000,010120,"ASSES, MULES AND HINNIES, LIVE",1,"ASSES, MULES AND HINNIES, LIVE",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活驢、活騾及活駃騠
01012100,010121,"LIVE HORSES,  FOR PURE-BRED BREEDING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活馬，純種配種用
01012910,010129,"LIVE HORSES,  FOR RACING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活馬，比賽用
01012990,010129,"LIVE HORSES, OTHER THAN THOSE FOR PURE-BRED BREEDING OR RACING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活馬，純種配種用或比賽用的除外
01013000,010130,LIVE ASSES,,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活驢
01019000,010190,LIVE MULES AND HINNIES,,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活騾及活駃騠
01019011,010190,"RACING HORSES, LIVE",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活馬，競賽用
01019012,010190,"OTHER HORSES, LIVE",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他活馬
01019090,010190,"OTHER ASSES, MULES AND HINNIES, LIVE",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他活驢、活騾及活駃騠
01021000,010210,"BOVINE ANIMALS, LIVE, PURE-BRED BREEDING",1,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,11,01,11,01,11,01,11,01,11,活牛，純種配種用
01022100,010221,"LIVE CATTLE, FOR PURE-BRED BREEDING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活牛，純種配種用
01022900,010229,"LIVE CATTLE, OTHER THAN THOSE FOR PURE-BRED BREEDING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活牛，純種配種用的除外
01023100,010231,"LIVE BUFFALO, FOR PURE-BRED BREEDING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活水牛，純種配種用
01023900,010239,"LIVE BUFFALO, OTHER THAN THOSE FOR PURE-BRED BREEDING",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活水牛，純種配種用的除外
01029000,010290,"LIVE BOVINE ANIMALS,  NESOI",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,1,11,1,11,1,11,1,11,1,11,活牛，未列明或未包括在其他編號
01031000,010310,"SWINE, LIVE, PURE-BRED BREEDING",1,"SWINE, LIVE, PUREBRED BREEDING",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,12,01,12,01,12,01,12,01,12,活豬，純種配種用
01039110,010391,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 10 KG EACH",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活豬，未列明或未包括在其他編號，每頭重量在10公斤以下
01039120,010391,"SWINE, LIVE, NESOI, WEIGHING 10 KG OR MORE BUT LESS THAN 50KG EACH",2,"SWINE, LIVE, NESOI, WEIGHING 10 KG OR MORE BUT LESS THAN 50",KG EACH,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,12,01,12,01,12,01,12,01,12,活豬，未列明或未包括在其他編號，每頭重量在１０公斤或以上但少於５０公斤
01039200,010392,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH",1,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,12,01,12,01,12,01,12,01,12,活豬，未列明或未包括在其他編號，每頭重量在５０公斤或以上
01041000,010410,"SHEEP, LIVE",1,"SHEEP, LIVE",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,90,01,90,01,90,01,90,01,90,活綿羊
01042000,010420,"GOATS, LIVE",1,"GOATS, LIVE",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,01,90,01,90,01,90,01,90,01,90,活山羊
01051100,010511,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",1,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,01,13,01,13,01,13,01,13,01,13,活雞，重量不超過１８５克
01051200,010512,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",1,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,,,,,01,13,01,13,01,13,活火雞，重量不超過１８５克
01051300,010513,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活鴨，重量不超過185克
01051400,010514,"GEESE , LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活鵝，重量不超過185克
01051500,010515,"GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活珍珠雞，重量不超過185克
01051910,010519,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",1,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,01,13,01,13,01,13,01,13,01,13,活鴨，重量不超過１８５克
01051990,010519,"GEESE AND GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 GEACH",2,"GEESE AND GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 G",EACH,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,01,13,01,13,01,13,01,13,01,13,活鵝及活珍珠雞，重量不超過１８５克
01059100,010591,"CHICKENS, LIVE, WEIGHING OVER 185 G EACH",,"CHICKENS, LIVE, WEIGHING OVER 185 G EACH",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,01,13,01,13,,,,,,,活雞，重量超過１８５克
01059200,010592,"CHICKENS, LIVE, WEIGHING MORE THAN 185 G TO 2,000 G EACH",1,"CHICKENS, LIVE, WEIGHING MORE THAN 185 G TO 2,000 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,,,,,01,13,01,13,01,13,活雞，重量超過１８５克但不超過２０００克
01059300,010593,"CHICKENS, LIVE, WEIGHING MORE THAN 2,000 G EACH",1,"CHICKENS, LIVE, WEIGHING MORE THAN 2,000 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,,,,,01,13,01,13,01,13,活雞，重量超過２０００克
01059400,010594,"CHICKENS, LIVE, WEIGHING MORE THAN 185 G",,,,,,,,,,,,20,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活雞，重量超過185克
01059910,010599,"DUCKS, LIVE, WEIGHING OVER 185 G EACH",1,"DUCKS, LIVE, WEIGHING OVER 185 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,01,13,01,13,01,13,01,13,01,13,活鴨，重量超過１８５克
01059920,010599,"GEESE, LIVE, WEIGHING OVER 185 G EACH",1,"GEESE, LIVE, WEIGHING OVER 185 G EACH",,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,01,13,01,13,01,13,01,13,01,13,活鵝，重量超過１８５克
01059930,010599,"TURKEYS, LIVE, WEIGHING OVER 185 G EACH",,,,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,活火雞，重量超過185克
01059990,010599,"GUINEA FOWLS, LIVE, WEIGHING OVER 185 G EACH",,,,,,,,,,,,20,2002,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,活珍珠雞，重量超過185克
01060010,010600,"PIGEONS, LIVE",1,"PIGEONS, LIVE",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活鴿子
01060020,010600,"OTHER BIRDS, EXCEPT PIGEONS, MAINLY USED FOR FOOD, LIVE",1,"OTHER BIRDS, EXCEPT PIGEONS, MAINLY USED FOR FOOD, LIVE",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,其他活雀鳥，鴿子除外，主要供食用
01060021,010600,"QUAIL, MAINLY USED FOR FOOD",,"QUAIL, MAINLY USED FOR FOOD",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,主要供食用的鵪鶉
01060022,010600,"OTHER BIRDS, MAINLY USED FOR FOOD",,"OTHER BIRDS, MAINLY USED FOR FOOD",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,其他雀鳥，主要供食用
01060030,010600,"TURTLES, LIVE",1,"TURTLES, LIVE",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活甲魚
01060040,010600,"FROGS, LIVE",1,"FROGS, LIVE",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,活田雞
01060050,010600,"OTHER LIVE ANIMALS, EXCEPT HEADINGS 0101 TO 0105 ANDMAINLY USED FOR FOOD",2,"OTHER LIVE ANIMALS, EXCEPT HEADINGS 0101 TO 0105 AND",MAINLY USED FOR FOOD,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,其他活動物，主要供食用，活馬、活驢、活騾及活駃騠、活牛、活豬、活綿羊及山羊、活家禽除外
01060090,010600,"OTHER LIVE ANIMALS, NOT FOR FOOD",1,"OTHER LIVE ANIMALS, NOT FOR FOOD",,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,02,90,02,90,02,90,02,90,02,90,其他活動物，非供食用
01061100,010611,"PRIMATES, LIVE",,"PRIMATES, LIVE",,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,02,90,活靈長類動物
01061200,010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), LIVE; MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), LIVE; SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA), LIVE",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活鯨、海豚和鼠海豚（鯨目哺乳動物）；活海牛和儒艮（海牛目哺乳動物）；活海豹，海獅和海象（鰭足亞目哺乳動物）
01061300,010613,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活駱駝和其他駱駝屬動物（駱駝科）
01061400,010614,"RABBITS AND HARES, LIVE",,,,,,,,,,,,20,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活兔和野兔
01061900,010619,"OTHER MAMMALS, LIVE, NESOI",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活哺乳類動物，未列明或未包括在其他編號
01062010,010620,"SNAKES, LIVE",,,,,,,,,,,,20,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活蛇
